borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,building_age
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1902,40,B1,112 WEST 118TH STREET,10026,2,0,2,1615.0,3328.0,1998,1,B1,2800000.0,2016-11-16,18
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1915,34,S2,411 LENOX AVENUE,10037,2,1,3,2377.0,4002.0,1910,1,S2,3650000.0,2017-02-17,107
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1937,52,B1,252 WEST 132 STREET,10027,2,0,2,1799.0,3600.0,1899,1,B1,1670000.0,2017-02-08,118
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1937,52,B1,252 WEST 132 STREET,10027,2,0,2,1799.0,3600.0,1899,1,B1,1310000.0,2016-11-16,117
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1937,123,B3,213 WEST 131 STREET,10027,2,0,2,1665.0,3460.0,1914,1,B3,2175000.0,2017-06-21,103
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1941,59,B3,264 WEST 136 STREET,10030,2,0,2,1749.0,2625.0,1910,1,B3,850000.0,2017-03-27,107
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1942,16,B1,237 WEST 136 STREET,10030,2,0,2,1599.0,3200.0,1899,1,B1,2000000.0,2016-12-07,117
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1949,7,B3,355 WEST 122ND STREET,10027,2,0,2,1615.0,3840.0,1899,1,B3,500000.0,2016-12-05,117
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1950,7,B3,357 WEST 123 STREET,10027,2,0,2,1598.0,2340.0,1899,1,B3,2460000.0,2017-05-17,118
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,2024,62,B2,268 WEST 139 STREET,10030,2,0,2,1699.0,4000.0,1910,1,B2,2950000.0,2016-09-23,106
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,2041,28,B9,320 WEST 138 STREET,10030,2,0,2,1472.0,3400.0,1901,1,B9,1550000.0,2016-09-22,115
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,2042,124,B1,318 WEST 140 STREET,10030,2,0,2,1499.0,3000.0,1899,1,B1,1625000.0,2017-04-20,118
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,2050,101,B1,21 HAMILTON TERRACE,10031,2,0,2,756.0,4320.0,1901,1,B1,3450000.0,2017-03-31,116
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,2050,103,B9,27 HAMILTON TERRACE,10031,2,0,2,1343.0,3400.0,1899,1,B9,2000000.0,2017-06-06,118
1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1717,67,C0,80 WEST 119TH STREET,10026,3,0,3,1615.0,3328.0,1909,1,C0,1730000.0,2017-05-30,108
1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1723,56,C0,46 WEST 126 STREET,10027,3,0,3,1998.0,3054.0,1910,1,C0,2685000.0,2016-09-19,106
1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1751,147,C0,62 EAST 127 STREET,10035,3,0,3,1873.0,3046.0,1909,1,C0,2505000.0,2017-03-27,108
1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1754,14,C0,29 EAST 129TH STREET,10035,3,0,3,1699.0,2852.0,1900,1,C0,1980000.0,2016-09-15,116
1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1828,122,C0,229 WEST 112 STREET,10026,3,0,3,1817.0,3600.0,1910,1,C0,3250000.0,2016-12-14,106
1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1911,3,C0,175 WEST 126 ST,10027,3,0,3,1699.0,2646.0,1910,1,C0,2390000.0,2017-08-11,107
